number_of_orders,no_of_products,total_sales,gmv,avg_daily_sales,aprox_exist_inventory,is_rental,shop_size,business_age(year),electricity_bill,rent_amount,shop_type,using_pos,credit_score
51 to 100,1 to 50,"51,118",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,9 to 12,More than 5000,0,PanShop / Juice Corner / Canteen,No,4.2
1 to 50,101 to 200,"281,700",200001 to 500000,3001 to 6000,100k - 300k,Owned,545+,9 to 12,2000 - 5000,0,General Store,No,4.4
1 to 50,1 to 50,"55,202",1 to 200000,20000+,100k - 300k,Owned,409 - 544,9 to 12,More than 5000,0,Super Store,No,5.3
1 to 50,51 to 100,"149,652",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,9 to 12,More than 5000,10001 to 15000,General Store,No,3.2
1 to 50,1 to 50,"11,748",1 to 200000,9001 to 12000,100k - 300k,Rented,Less than 136,9 to 12,More than 5000,20000 to 25000,PanShop / Juice Corner / Canteen,No,3.4
1 to 50,51 to 100,"46,579",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,9 to 12,More than 5000,15001 to 20000,General Store,No,3.2
1 to 50,201 to 300,"833,220",500001 to 1000000,9001 to 12000,Less than 100k,Rented,Less than 136,9 to 12,More than 5000,15001 to 20000,General Store,No,4.2
1 to 50,1 to 50,"79,866",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,9 to 12,More than 5000,25000+,Kiryana,No,2.8
1 to 50,1 to 50,"34,661",1 to 200000,6001 to 9000,100k - 300k,Rented,136 - 271,9 to 12,2000 - 5000,5001 to 10000,General Store,No,3.4
1 to 50,1 to 50,"40,703",1 to 200000,9001 to 12000,100k - 300k,Owned,409 - 544,9 to 12,More than 5000,0,Kiryana,No,4.7
51 to 100,1 to 50,"21,569",1 to 200000,3001 to 6000, , , , , , , ,No,1
1 to 50,1 to 50,"53,446",1 to 200000,6001 to 9000,100k - 300k,Owned,136 - 271,9 to 12,2000 - 5000,0,PanShop / Juice Corner / Canteen,No,4.1
1 to 50,1 to 50,"16,148",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,9 to 12,2000 - 5000,10001 to 15000,Kiryana,No,3.1
1 to 50,101 to 200,"208,504",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,9 to 12,Less than 2000,5001 to 10000,Kiryana,No,3.3
1 to 50,51 to 100,"24,095",1 to 200000,3001 to 6000,Less than 100k,Rented,409 - 544,9 to 12,Less than 2000,5001 to 10000,Kiryana,No,3.1
1 to 50,1 to 50,"173,776",1 to 200000,9001 to 12000,100k - 300k,Owned,Less than 136,9 to 12,More than 5000,0,General Store,No,4.3
1 to 50,201 to 300,"723,837",500001 to 1000000,6001 to 9000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,General Store,No,5.1
1 to 50,1 to 50,"7,866",1 to 200000,1 to 3000,Less than 100k,Rented,Less than 136,9 to 12,More than 5000,1 to 5000,Kiryana,No,2.8
1 to 50,1 to 50,"104,496",1 to 200000,20000+, , , , , , , ,No,2
1 to 50,51 to 100,"112,220",1 to 200000,3001 to 6000,100k - 300k,Owned,409 - 544,9 to 12,More than 5000,0,Super Store,No,4.2
1 to 50,1 to 50,"6,980",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
1 to 50,101 to 200,"282,888",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,9 to 12,2000 - 5000,0,Kiryana,No,4.5
1 to 50,1 to 50,"55,538",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,General Store,No,3.8
1 to 50,51 to 100,"162,375",1 to 200000,6001 to 9000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,General Store,No,4.2
1 to 50,1 to 50,"83,634",1 to 200000,3001 to 6000,Less than 100k,Rented,136 - 271,9 to 12,2000 - 5000,15001 to 20000,Kiryana,No,2.7
51 to 100,1 to 50,"4,155",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,9 to 12,2000 - 5000,0,PanShop / Juice Corner / Canteen,No,3.8
1 to 50,51 to 100,"159,979",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,9 to 12,More than 5000,0,Bakery,No,3.9
