number_of_orders,no_of_products,total_sales,gmv,avg_daily_sales,aprox_exist_inventory,is_rental,shop_size,business_age(year),electricity_bill,rent_amount,shop_type,using_pos,credit_score
1 to 50,1 to 50,"67,688",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,3.9
1 to 50,1 to 50,"151,747",1 to 200000,9001 to 12000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,4.5
1 to 50,1 to 50,"55,334",1 to 200000,12001 to 20000,100k - 300k,Rented,136 - 271,13+,More than 5000,25000+,Kiryana,No,3.9
1 to 50,1 to 50,"116,191",1 to 200000,6001 to 9000,Less than 100k,Owned,545+,13+,2000 - 5000,0,Kiryana,No,4.2
1 to 50,201 to 300,"1,323,850",1000001 to 2000000,20000+,100k - 300k,Owned,272 - 408,13+,More than 5000,0,Kiryana,No,6.7
1 to 50,101 to 200,"398,046",200001 to 500000,3001 to 6000,Less than 100k,Owned,136 - 271,13+,Less than 2000,0,Kiryana,No,3.9
1 to 50,1 to 50,"64,106",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,13+,2000 - 5000,0,Kiryana,No,4.2
1 to 50,1 to 50,"89,549",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,General Store,No,3.8
1 to 50,1 to 50,"36,907",1 to 200000,3001 to 6000,Less than 100k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,3.7
1 to 50,51 to 100,"113,502",1 to 200000,1 to 3000,100k - 300k,Owned,136 - 271,13+,Less than 2000,0,Kiryana,No,3.7
1 to 50,1 to 50,"127,256",1 to 200000,9001 to 12000,Less than 100k,Owned,545+,13+,Less than 2000,0,General Store,No,4.4
1 to 50,1 to 50,"72,710",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,3.9
1 to 50,101 to 200,"257,754",200001 to 500000,3001 to 6000,Less than 100k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,3.9
1 to 50,101 to 200,"1,207,305",1000001 to 2000000,20000+,100k - 300k ,Owned,409 - 544,13+,2000 - 5000,0,Kiryana,No,5.9
101 to 200,51 to 100,"91,544",1 to 200000,3001 to 6000,100k - 300k,Owned,409 - 544,13+,More than 5000,0,Super Store,No,4.6
1 to 50,51 to 100,"378,237",200001 to 500000,6001 to 9000,100k - 300k,Rented,272 - 408,13+,More than 5000,25000+,General Store,No,3.6
51 to 100,1 to 50,"37,190",1 to 200000,9001 to 12000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Super Store,No,4.7
1 to 50,1 to 50,"24,011",1 to 200000,1 to 3000,100k - 300k,Owned,136 - 271,13+,2000 - 5000,0,Kiryana,No,3.7
51 to 100,51 to 100,"235,122",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,13+,2000 - 5000,0,Kiryana,No,4.6
1 to 50,51 to 100,"383,052",200001 to 500000,9001 to 12000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Wholesale,No,4.8
1 to 50,501 to 1000,"658,181",500001 to 1000000,3001 to 6000,Less than 100k,Owned,Less than 136,13+,2000 - 5000,0,Kiryana,No,4.1
101 to 200,101 to 200,"317,677",200001 to 500000,6001 to 9000,100k - 300k,Owned,545+,13+,2000 - 5000,0,Kiryana,No,5.2
1 to 50,201 to 300,"992,361",500001 to 1000000,12001 to 20000,100k - 300k ,Owned,272 - 408,13+,Less than 2000,0,General Store,No,5.2
1 to 50,51 to 100,"149,540",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,13+,More than 5000,20000 to 25000,General Store,No,2.6
1 to 50,101 to 200,"852,551",500001 to 1000000,12001 to 20000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Super Store,No,5.6
1 to 50,1 to 50,"31,257",1 to 200000,6001 to 9000,100k - 300k,Rented,545+,13+,More than 5000,25000+,Bakery,No,3.5
1 to 50,1 to 50,"12,350",1 to 200000,1 to 3000, , , , , , , ,No,0.7
1 to 50,301 to 400,"812,212",500001 to 1000000,6001 to 9000,Less than 100k,Rented,545+,13+,More than 5000,5001 to 10000,Kiryana,No,4.6
51 to 100,101 to 200,"277,010",200001 to 500000,6001 to 9000,100k - 300k,Owned,545+,13+,More than 5000,0,Super Store,No,5.1
51 to 100,51 to 100,"215,166",200001 to 500000,6001 to 9000,100k - 300k,Rented,409 - 544,13+,More than 5000,5001 to 10000,Kiryana,No,4.3
1 to 50,1 to 50,"113,719",1 to 200000,1 to 3000,100k - 300k,Rented,Less than 136,13+,More than 5000,10001 to 15000,PanShop / Juice Corner / Canteen,No,3
51 to 100,1 to 50,"53,551",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,General Store,No,4.1
1 to 50,51 to 100,"58,397",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,13+,More than 5000,25000+,Super Store,No,3.2
1 to 50,51 to 100,"132,864",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,13+,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.6
1 to 50,101 to 200,"922,082",500001 to 1000000,12001 to 20000,100k - 300k,Rented,Less than 136,13+,More than 5000,15001 to 20000,Kiryana,No,4.8
1 to 50,301 to 400,"331,502",200001 to 500000,3001 to 6000,100k - 300k,Rented,272 - 408,13+,More than 5000,20000 to 25000,Kiryana,No,3.6
1 to 50,1 to 50,"6,208",1 to 200000,3001 to 6000, , , , , , , ,No,0.8
1 to 50,301 to 400,"422,089",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,4.4
1 to 50,101 to 200,"246,777",200001 to 500000,6001 to 9000,100k - 300k,Rented,136 - 271,13+,2000 - 5000,1 to 5000,Super Store,No,4
1 to 50,1 to 50,"31,516",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,13+,More than 5000,25000+,PanShop / Juice Corner / Canteen,No,2.9
1 to 50,1 to 50,"29,925",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,PanShop / Juice Corner / Canteen,No,3.9
1 to 50,1 to 50,"20,842",1 to 200000,3001 to 6000,100k - 300k,Owned,409 - 544,13+,More than 5000,0,Kiryana,No,4.2
51 to 100,51 to 100,"130,148",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,4.2
1 to 50,51 to 100,"523,003",500001 to 1000000,9001 to 12000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,5.2
51 to 100,1 to 50,"206,889",1 to 200000,9001 to 12000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,4.7
1 to 50,1 to 50,"32,727",1 to 200000,9001 to 12000,100k - 300k,Rented,136 - 271,13+,More than 5000,5001 to 10000,Super Store,No,4
1 to 50,1 to 50,"22,968",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,13+,More than 5000,10001 to 15000,Kiryana,No,3.3
101 to 200,51 to 100,"172,914",1 to 200000,9001 to 12000,Less than 100k,Owned,136 - 271,13+,More than 5000,0,General Store,No,4.6
1 to 50,201 to 300,"890,675",500001 to 1000000,9001 to 12000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,General Store,No,5.5
1 to 50,1 to 50,"33,795",1 to 200000,9001 to 12000,100k - 300k,Rented,272 - 408,13+,More than 5000,5001 to 10000,General Store,No,4
1 to 50,101 to 200,"911,906",500001 to 1000000,12001 to 20000,100k - 300k,Owned,272 - 408,13+,More than 5000,0,General Store,No,5.7
1 to 50,1 to 50,"24,470",1 to 200000,20000+,100k - 300k,Owned,136 - 271,13+,More than 5000,0,General Store,No,5.1
1 to 50,51 to 100,"101,701",1 to 200000,3001 to 6000,Less than 100k,Owned,Less than 136,13+,More than 5000,0,General Store,No,3.6
1 to 50,301 to 400,"3,118,077",2000001 to 3000000,20000+,Less than 100k,Owned,Less than 136,13+,More than 5000,0,General Store,No,6.6
1 to 50,1 to 50,"40,619",1 to 200000,6001 to 9000, , , , , , , ,No,1.1
1 to 50,1 to 50,"7,092",1 to 200000,6001 to 9000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,4.3
51 to 100,1 to 50,"7,043",1 to 200000,1 to 3000, , , , , , , ,No,0.8
1 to 50,1 to 50,"62,983",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,General Store,No,3.9
51 to 100,1 to 50,"17,280",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,13+,More than 5000,10001 to 15000,PanShop / Juice Corner / Canteen,No,3
1 to 50,1 to 50,"185,750",1 to 200000,9001 to 12000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,4.5
1 to 50,1 to 50,"72,145",1 to 200000,6001 to 9000,100k - 300k ,Rented,545+,13+,More than 5000,10001 to 15000,Bakery,No,3.2
1 to 50,51 to 100,"114,413",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,13+,More than 5000,25000+,Bakery,No,3
1 to 50,101 to 200,"296,994",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,2000 - 5000,0,Kiryana,No,4.2
1 to 50,1 to 50,"83,778",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,General Store,No,3.8
1 to 50,101 to 200,"548,824",500001 to 1000000,6001 to 9000,100k - 300k,Rented,545+,13+,More than 5000,5001 to 10000,Super Store,No,4.8
1 to 50,101 to 200,"237,196",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,General Store,No,4.3
1 to 50,1 to 50,"14,256",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,13+,More than 5000,0,Super Store,No,4.1
1 to 50,1 to 50,"58,412",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,13+,More than 5000,0,Super Store,No,4.1
51 to 100,1 to 50,"15,908",1 to 200000,1 to 3000,100k - 300k,Owned,272 - 408,13+,More than 5000,0,Kiryana,No,4.1
1 to 50,1 to 50,"60,141",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,3.9
101 to 200,101 to 200,"297,552",200001 to 500000,6001 to 9000,Less than 100k,Owned,Less than 136,13+,More than 5000,0,General Store,No,4.5
1 to 50,1 to 50,"62,550",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,13+,More than 5000,25000+,General Store,No,2.5
1 to 50,1 to 50,"29,120",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,13+,2000 - 5000,0,Kiryana,No,4.2
1 to 50,1 to 50,"32,335",1 to 200000,1 to 3000,100k - 300k,Owned,136 - 271,13+,Less than 2000,0,Kiryana,No,3.7
1 to 50,101 to 200,"275,514",200001 to 500000,3001 to 6000,100k - 300k,Rented,272 - 408,13+,More than 5000,10001 to 15000,General Store,No,3.7
1 to 50,1 to 50,"62,660",1 to 200000,20000+,100k - 300k,Rented,409 - 544,13+,More than 5000,5001 to 10000,Kiryana,No,4.8
51 to 100,101 to 200,"1,251,691",500001 to 1000000,6001 to 9000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,5.2
1 to 50,51 to 100,"336,879",200001 to 500000,12001 to 20000,Less than 100k,Rented,272 - 408,13+,More than 5000,5001 to 10000,General Store,No,4.3
1 to 50,51 to 100,"378,010",200001 to 500000,12001 to 20000,100k - 300k ,Owned,545+,13+,More than 5000,0,Super Store,No,4.9
1 to 50,51 to 100,"209,159",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,13+,More than 5000,0,General Store,No,4.1
1 to 50,201 to 300,"408,702",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,13+,2000 - 5000,0,PanShop / Juice Corner / Canteen,No,4.6
1 to 50,51 to 100,"101,940",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,13+,2000 - 5000,0,General Store,No,4.2
51 to 100,401 to 500,"1,024,602",500001 to 1000000,6001 to 9000,100k - 300k ,Owned,272 - 408,13+,More than 5000,0,General Store,No,4.5
1 to 50,51 to 100,"170,669",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,Less than 2000,0,Kiryana,No,3.9
51 to 100,51 to 100,"311,274",200001 to 500000,6001 to 9000,100k - 300k,Rented,Less than 136,13+,More than 5000,25000+,Bakery,No,3.5
1 to 50,1 to 50,"69,573",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,13+,More than 5000,0,Kiryana,No,4.3
1 to 50,51 to 100,"394,133",200001 to 500000,9001 to 12000,Less than 100k,Owned,272 - 408,13+,More than 5000,0,General Store,No,4.6
1 to 50,1 to 50,"58,109",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,Less than 2000,0,Kiryana,No,3.8
1 to 50,101 to 200,"1,302,469",1000001 to 2000000,12001 to 20000,100k - 300k,Owned,272 - 408,13+,More than 5000,0,Kiryana,No,6.2
1 to 50,1 to 50,"16,111",1 to 200000,1 to 3000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,3.7
1 to 50,301 to 400,"439,197",200001 to 500000,3001 to 6000,100k - 300k,Owned,272 - 408,13+,More than 5000,0,Kiryana,No,4.6
1 to 50,1 to 50,"40,634",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Super Store,No,3.9
51 to 100,1 to 50,"24,342",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,General Store,No,4.1
1 to 50,51 to 100,"250,360",200001 to 500000,6001 to 9000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,4.5
51 to 100,1 to 50,"38,932",1 to 200000,3001 to 6000,Less than 100k,Rented,272 - 408,13+,More than 5000,1 to 5000,Kiryana,No,3.4
1 to 50,201 to 300,"519,438",200001 to 500000,9001 to 12000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,General Store,No,5
1 to 50,101 to 200,"155,268",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,13+,More than 5000,0,Kiryana,No,4.4
1 to 50,51 to 100,"66,230",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Super Store,No,4.3
1 to 50,101 to 200,"300,002",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,4.3
1 to 50,201 to 300,"296,647",200001 to 500000,6001 to 9000,100k - 300k,Owned,409 - 544,13+,More than 5000,0,General Store,No,5
51 to 100,201 to 300,"441,287",200001 to 500000,6001 to 9000,Less than 100k,Owned,545+,13+,More than 5000,0,General Store,No,4.9
1 to 50,1 to 50,"193,100",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Super Store,No,4
1 to 50,1 to 50,"59,670",1 to 200000,6001 to 9000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,4.3
1 to 50,51 to 100,"93,281",1 to 200000,3001 to 6000,Less than 100k,Owned,545+,13+,More than 5000,0,Kiryana,No,4
1 to 50,51 to 100,"123,321",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,4
101 to 200,51 to 100,"90,758",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,General Store,No,4.3
1 to 50,101 to 200,"279,184",200001 to 500000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,2000 - 5000,0,Kiryana,No,4.3
51 to 100,51 to 100,"359,573",200001 to 500000,6001 to 9000,100k - 300k,Rented,Less than 136,13+,More than 5000,5001 to 10000,Kiryana,No,4
1 to 50,1 to 50,"120,178",1 to 200000,3001 to 6000,100k - 300k,Rented,409 - 544,13+,More than 5000,15001 to 20000,Super Store,No,3.4
1 to 50,1 to 50,"22,728",1 to 200000,3001 to 6000,100k - 300k,Rented,545+,13+,More than 5000,25000+,Super Store,No,3.3
1 to 50,51 to 100,"148,140",1 to 200000,3001 to 6000,Less than 100k,Owned,272 - 408,13+,More than 5000,0,Bakery,No,3.8
51 to 100,301 to 400,"811,466",500001 to 1000000,3001 to 6000,100k - 300k,Owned,409 - 544,13+,2000 - 5000,0,Kiryana,No,5.2
1 to 50,1 to 50,"11,620",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,4
1 to 50,101 to 200,"477,688",200001 to 500000,3001 to 6000,100k - 300k,Owned,545+,13+,More than 5000,0,Kiryana,No,4.6
1 to 50,201 to 300,"529,321",500001 to 1000000,12001 to 20000,100k - 300k,Owned,136 - 271,13+,2000 - 5000,0,General Store,No,5.7
1 to 50,1 to 50,"62,640",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,3.9
1 to 50,101 to 200,"198,843",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,4
1 to 50,301 to 400,"726,113",500001 to 1000000,6001 to 9000,100k - 300k,Owned,545+,13+,More than 5000,0,Super Store,No,5.6
1 to 50,1 to 50,"10,988",1 to 200000,3001 to 6000,100k - 300k,Rented,545+,13+,More than 5000,25000+,Super Store,No,3.3
1 to 50,1 to 50,"98,578",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,4
1 to 50,1 to 50,"24,731",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,PanShop / Juice Corner / Canteen,No,4.2
1 to 50,1 to 50,"62,453",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,2000 - 5000,0,Kiryana,No,3.9
1 to 50,51 to 100,"224,373",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,13+,2000 - 5000,0,Kiryana,No,4.5
1 to 50,1 to 50,"69,655",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,General Store,No,3.9
1 to 50,1 to 50,"23,771",1 to 200000,3001 to 6000,Less than 100k,Owned,545+,13+,More than 5000,0,General Store,No,3.9
1 to 50,1 to 50,"33,187",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,13+,More than 5000,0,Bakery,No,4
1 to 50,1 to 50,"36,507",1 to 200000,12001 to 20000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Bakery,No,4.8
101 to 200,51 to 100,"221,514",200001 to 500000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Bakery,No,4.4
 ,51 to 100,"180,905",1 to 200000,6001 to 9000,Less than 100k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,3.9
1 to 50,1 to 50,"149,289",1 to 200000,6001 to 9000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,General Store,No,4.1
1 to 50,1 to 50,"5,610",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,Less than 2000,0,Kiryana,No,3.8
51 to 100,1 to 50,"29,096",1 to 200000,6001 to 9000,100k - 300k,Owned,409 - 544,13+,More than 5000,0,General Store,No,4.6
1 to 50,201 to 300,"203,365",1 to 200000,9001 to 12000,Less than 100k,Rented,272 - 408,13+,More than 5000,10001 to 15000,PanShop / Juice Corner / Canteen,No,4
1 to 50,401 to 500,"1,009,854",500001 to 1000000,6001 to 9000,100k - 300k,Owned,272 - 408,13+,2000 - 5000,0,General Store,No,4.9
1 to 50, , , , ,100k - 300k,Owned,545+,13+,More than 5000,0,Kiryana,No,3.7
1 to 50,1 to 50,"98,733",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,General Store,No,3.8
1 to 50,1 to 50,"82,467",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,13+,More than 5000,1 to 5000,Kiryana,No,3.3
51 to 100,101 to 200,"466,700",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,4.8
1 to 50,1 to 50,"116,117",1 to 200000,6001 to 9000,100k - 300k,Owned,545+,13+,More than 5000,0,Super Store,No,4.6
51 to 100,1 to 50,"89,429",1 to 200000,3001 to 6000,Less than 100k,Owned,545+,13+,More than 5000,0,Super Store,No,4.2
51 to 100,51 to 100,"184,301",1 to 200000,6001 to 9000,100k - 300k,Rented,545+,13+,More than 5000,25000+,Bakery,No,3.7
1 to 50,51 to 100,"220,670",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,2000 - 5000,0,Kiryana,No,4
51 to 100,1 to 50,"45,592",1 to 200000,6001 to 9000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,4.4
1 to 50,201 to 300,"1,663,516",1000001 to 2000000,12001 to 20000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Bakery,No,6.2
1 to 50,1 to 50,"148,463",1 to 200000,20000+,100k - 300k,Owned,545+,13+,More than 5000,0,Kiryana,No,5.5
51 to 100,101 to 200,"944,858",500001 to 1000000,12001 to 20000,100k - 300k ,Rented,545+,13+,More than 5000,20000 to 25000,Wholesale,No,4.6
1 to 50,101 to 200,"566,247",500001 to 1000000,6001 to 9000,Less than 100k,Owned,409 - 544,13+,More than 5000,0,General Store,No,4.9
1 to 50,1 to 50,"62,657",1 to 200000,6001 to 9000,Less than 100k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,4
1 to 50,201 to 300,"1,145,904",1000001 to 2000000,12001 to 20000,100k - 300k,Owned,272 - 408,13+,More than 5000,0,Kiryana,No,6.4
1 to 50,51 to 100,"283,299",200001 to 500000,9001 to 12000,100k - 300k,Owned,545+,13+,2000 - 5000,0,Kiryana,No,5.1
51 to 100,1 to 50,"95,667",1 to 200000,9001 to 12000,100k - 300k,Rented,545+,13+,More than 5000,25000+,Kiryana,No,4
1 to 50,101 to 200,"788,484",500001 to 1000000,9001 to 12000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,5.3
101 to 200,1 to 50,"22,915",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,13+,2000 - 5000,1 to 5000,General Store,No,3.5
1 to 50,1 to 50,"43,991",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,4
1 to 50,1 to 50,"65,185",1 to 200000,3001 to 6000,100k - 300k,Owned,409 - 544,13+,More than 5000,0,Kiryana,No,4.2
51 to 100,1 to 50,"70,760",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,13+,More than 5000,5001 to 10000,General Store,No,3.4
1 to 50,101 to 200,"569,824",500001 to 1000000,6001 to 9000,100k - 300k,Owned,272 - 408,13+,More than 5000,0,General Store,No,5.1
1 to 50,51 to 100,"39,450",1 to 200000,3001 to 6000,Less than 100k,Rented,Less than 136,13+,More than 5000,5001 to 10000,General Store,No,3
1 to 50,401 to 500,"806,217",500001 to 1000000,3001 to 6000,Less than 100k,Owned,545+,13+,More than 5000,0,Super Store,No,4.7
51 to 100,1 to 50,"35,256",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,4
1 to 50,101 to 200,"276,425",200001 to 500000,3001 to 6000,100k - 300k,Owned,409 - 544,13+,2000 - 5000,0,Kiryana,No,4.5
1 to 50,201 to 300,"673,548",500001 to 1000000,9001 to 12000,100k - 300k,Rented,Less than 136,13+,More than 5000,20000 to 25000,General Store,No,4.4
1 to 50,1 to 50,"56,164",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,13+,More than 5000,1 to 5000,PanShop / Juice Corner / Canteen,No,3.4
51 to 100,1 to 50,"12,724",1 to 200000,3001 to 6000,100k - 300k,Rented,136 - 271,13+,More than 5000,1 to 5000,PanShop / Juice Corner / Canteen,No,3.6
1 to 50,51 to 100,"85,505",1 to 200000,3001 to 6000,100k - 300k,Owned,545+,13+,2000 - 5000,0,Kiryana,No,4.3
1 to 50,101 to 200,"694,555",500001 to 1000000,9001 to 12000,100k - 300k,Rented,136 - 271,13+,More than 5000,15001 to 20000,Kiryana,No,4.6
1 to 50,1 to 50,"47,606",1 to 200000,1 to 3000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,General Store,No,3.8
1 to 50,1 to 50,"5,721",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,2000 - 5000,0,General Store,No,3.7
1 to 50,1 to 50,"29,740",1 to 200000,6001 to 9000,100k - 300k,Owned,545+,13+,More than 5000,0,PanShop / Juice Corner / Canteen,No,4.6
1 to 50,201 to 300,"1,140,031",1000001 to 2000000,12001 to 20000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Super Store,No,6.2
1 to 50,1 to 50,"176,013",1 to 200000,12001 to 20000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,General Store,No,4.8
1 to 50,1 to 50,"78,316",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,2000 - 5000,0,Kiryana,No,3.9
1 to 50,51 to 100,"174,207",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,General Store,No,3.9
1 to 50,1 to 50,"56,288",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,13+,More than 5000,15001 to 20000,Bakery,No,3
1 to 50,51 to 100,"521,440",500001 to 1000000,9001 to 12000,100k - 300k ,Rented,545+,13+,More than 5000,25000+,Wholesale,No,4.1
1 to 50,51 to 100,"123,751",1 to 200000,3001 to 6000,Less than 100k,Owned,136 - 271,13+,2000 - 5000,0,General Store,No,3.6
1 to 50,1 to 50,"162,870",1 to 200000,6001 to 9000,100k - 300k,Rented,545+,13+,Less than 2000,15001 to 20000,Kiryana,No,3.6
101 to 200,1 to 50,"10,814",1 to 200000,9001 to 12000,100k - 300k,Owned,Less than 136,13+,Less than 2000,0,Kiryana,No,4.6
1 to 50,1 to 50,"213,055",200001 to 500000,12001 to 20000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Kiryana,No,5
1 to 50,1 to 50,"24,679",1 to 200000,3001 to 6000,100k - 300k,Rented,Less than 136,13+,More than 5000,15001 to 20000,Bakery,No,3
1 to 50,1 to 50,"22,047",1 to 200000,3001 to 6000,100k - 300k,Owned,409 - 544,13+,More than 5000,0,Bakery,No,4.1
51 to 100,1 to 50,"37,855",1 to 200000,3001 to 6000,100k - 300k,Owned,Less than 136,13+,More than 5000,0,Bakery,No,3.9
1 to 50,1 to 50,"25,452",1 to 200000,3001 to 6000,100k - 300k,Owned,272 - 408,13+,Less than 2000,0,Kiryana,No,3.9
51 to 100,301 to 400,"605,184",500001 to 1000000,3001 to 6000,100k - 300k,Owned,545+,13+,More than 5000,0,Kiryana,No,5.4
1 to 50,51 to 100,"163,659",1 to 200000,3001 to 6000,100k - 300k,Owned,136 - 271,13+,2000 - 5000,0,Kiryana,No,4
1 to 50,51 to 100,"671,166",500001 to 1000000,12001 to 20000,100k - 300k,Owned,545+,13+,More than 5000,0,Super Store,No,5.9
1 to 50,1 to 50,"35,381",1 to 200000,3001 to 6000,100k - 300k,Rented,272 - 408,13+,More than 5000,25000+,General Store,No,3
51 to 100,201 to 300,"490,650",200001 to 500000,6001 to 9000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,General Store,No,4.9
1 to 50,1 to 50,"124,284",1 to 200000,6001 to 9000,100k - 300k,Owned,272 - 408,13+,More than 5000,0,Kiryana,No,4.4
1 to 50,301 to 400,"713,480",500001 to 1000000,6001 to 9000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,General Store,No,5.2
1 to 50,1 to 50,"19,619",1 to 200000,6001 to 9000,100k - 300k,Owned,136 - 271,13+,More than 5000,0,Kiryana,No,4.3
1 to 50,1 to 50,"171,004",1 to 200000,20000+,100k - 300k,Owned,545+,13+,2000 - 5000,0,Super Store,No,5.4
